{'loss': 0.9933, 'grad_norm': 0.46587705612182617, 'learning_rate': 3.303957783641161e-05, 'epoch': 0.76}
{'loss': 0.9654, 'grad_norm': 1.6504251956939697, 'learning_rate': 3.293403693931398e-05, 'epoch': 0.76}
{'loss': 1.0064, 'grad_norm': 0.6751233339309692, 'learning_rate': 3.282849604221636e-05, 'epoch': 0.77}
{'loss': 0.9741, 'grad_norm': 0.7939854860305786, 'learning_rate': 3.2722955145118735e-05, 'epoch': 0.77}
{'loss': 0.983, 'grad_norm': 1.2783654928207397, 'learning_rate': 3.261741424802111e-05, 'epoch': 0.77}
{'loss': 0.9651, 'grad_norm': 1.1646044254302979, 'learning_rate': 3.251187335092348e-05, 'epoch': 0.78}
{'loss': 0.9647, 'grad_norm': 0.5948222875595093, 'learning_rate': 3.240633245382586e-05, 'epoch': 0.78}
{'loss': 1.0041, 'grad_norm': 2.2816028594970703, 'learning_rate': 3.230079155672823e-05, 'epoch': 0.79}
{'loss': 0.9726, 'grad_norm': 1.8649020195007324, 'learning_rate': 3.219525065963061e-05, 'epoch': 0.79}
{'loss': 0.998, 'grad_norm': 1.1176104545593262, 'learning_rate': 3.2089709762532985e-05, 'epoch': 0.79}
{'loss': 0.9543, 'grad_norm': 1.1286834478378296, 'learning_rate': 3.198416886543536e-05, 'epoch': 0.8}
{'loss': 0.968, 'grad_norm': 0.5781551599502563, 'learning_rate': 3.187862796833773e-05, 'epoch': 0.8}
{'loss': 0.9937, 'grad_norm': 0.5178927779197693, 'learning_rate': 3.177308707124011e-05, 'epoch': 0.81}
{'loss': 0.9478, 'grad_norm': 1.003692626953125, 'learning_rate': 3.166754617414248e-05, 'epoch': 0.81}
{'loss': 0.9998, 'grad_norm': 1.800521969795227, 'learning_rate': 3.1562005277044854e-05, 'epoch': 0.81}
{'loss': 0.9734, 'grad_norm': 0.4079713821411133, 'learning_rate': 3.1456464379947234e-05, 'epoch': 0.82}
{'loss': 0.9553, 'grad_norm': 1.2486119270324707, 'learning_rate': 3.13509234828496e-05, 'epoch': 0.82}
{'loss': 0.9996, 'grad_norm': 0.6330287456512451, 'learning_rate': 3.124538258575198e-05, 'epoch': 0.83}
{'loss': 0.9467, 'grad_norm': 1.5648828744888306, 'learning_rate': 3.1139841688654356e-05, 'epoch': 0.83}
{'loss': 1.002, 'grad_norm': 1.5440068244934082, 'learning_rate': 3.103430079155673e-05, 'epoch': 0.83}
{'loss': 0.9743, 'grad_norm': 1.1361503601074219, 'learning_rate': 3.0928759894459104e-05, 'epoch': 0.84}
{'loss': 0.9532, 'grad_norm': 0.9643086791038513, 'learning_rate': 3.082321899736148e-05, 'epoch': 0.84}
{'loss': 0.9848, 'grad_norm': 0.8159767985343933, 'learning_rate': 3.071767810026385e-05, 'epoch': 0.85}
{'loss': 0.9666, 'grad_norm': 1.0444351434707642, 'learning_rate': 3.061213720316623e-05, 'epoch': 0.85}
